gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sntg1,292.5435851142803,-1.3481953363449974,0.2534390701820281,-5.319603387814989,1.0399370410260083e-7,9.692213222362397e-6
Cpa6,147.61626222997484,-1.5710536303237297,0.34403344545117975,-4.566572381540942,4.957639019126816e-6,2.9571325221287636e-4
Pi15,67.89702929733009,-1.9013539798135906,0.28039942996074424,-6.78087676597552,1.1944873557586024e-11,2.8729347498503678e-9
Cavin2,1072.30694050984,-1.0743293560309484,0.2376759078548738,-4.520144114425513,6.179754892275107e-6,3.5718025175816436e-4
Nrp2,14.0375824699872,-1.2255196146184517,0.39870507067091127,-3.0737497583269717,0.0021138666331779635,0.038955239609323344
Ccl20,95.58715122037898,-2.010691053071521,0.5599978186520743,-3.59053372370502,3.300015278361641e-4,0.009783265970363577
Sp100,27.84201560751471,-1.0814432273632721,0.30854873242768804,-3.5049349218011154,4.5671890937554676e-4,0.012594264481058643
Bcl2,33.626308479220754,-1.2334877324141356,0.3526072796871237,-3.4981913405436122,4.684249407447236e-4,0.012769931839826908
Chi3l1,11.46288404676238,-2.824539959255689,0.6795401008095298,-4.15654639938223,3.230945774232787e-5,0.0014599958601624037
Lmod1,38.07531482923606,-1.4819719623813505,0.3988579904690671,-3.71553785506093,2.0277190347863425e-4,0.0066309969839328815
Zfp281,151.64527791382474,-1.0040867914449245,0.2704462482291643,-3.712703718463513,2.0505688728811503e-4,0.006676437343319588
F11r,498.34704202636254,-1.1770650810510122,0.22903086032259187,-5.139329605595972,2.757203876375223e-7,2.3361036479833713e-5
Spta1,20.824394386457495,-1.8395480571109941,0.40408085150577594,-4.552425709498634,5.303088994834524e-6,3.1256783830423883e-4
Tgfb2,184.3386168103171,-1.0471275621539313,0.17213865949858298,-6.083047034315677,1.1791973644073908e-9,1.9323286920926385e-7
Itga8,83.5616846174664,-1.6208640780410248,0.37178116242846854,-4.359726209508752,1.3022527441083263e-5,6.650408534295671e-4
Olfml2a,6.971745313568814,-2.1644036021537887,0.7031597171291217,-3.0781109176598886,0.0020831736264795577,0.0384458974233455
Grb14,82.72451473471146,-1.1884979826693591,0.23266703972402586,-5.108149328237795,3.2532950314460574e-7,2.6951741949402005e-5
Gm13710,3.716964150151671,-5.37377429977742,1.1749392027723091,-4.5736615878488145,4.792737307570211e-6,2.881826561713185e-4
Bdnf,342.2446844305354,-1.6168097262044696,0.27026844605085476,-5.982236364729919,2.2009456833819152e-9,3.315202225312234e-7
Adam33,56.720159405593826,-1.3526666733707142,0.38697088187791723,-3.4955257274304627,4.731288388052004e-4,0.012851178951298994
Gm46766,69.5712776855127,-1.2463823129261962,0.2970713654236173,-4.1955653017882835,2.7219184765327334e-5,0.0012723902295315398
Gm39954,4.192703822169249,-3.405264692745742,1.112159620115943,-3.0618488849565875,0.002199744747396616,0.03976071960385253
Myl9,1857.954646666064,-1.2711578940512482,0.3147949609857664,-4.038050323520662,5.3897292432655107e-5,0.002232545624321536
Ripor3,14.834089135136571,-1.1595209518822192,0.3801003876419544,-3.0505650338206456,0.0022841120810423825,0.040791232757489825
Sycp2,4.856621869429521,-1.951839581986413,0.6197507312100486,-3.149394560899496,0.0016360913605035464,0.032836331585234024
Cdh4,4.010072225326502,-4.167966343594711,1.1712925916864263,-3.558433113278447,3.73073767012859e-4,0.01072014206105759
Zc2hc1a,343.5443422847262,-1.1158020646438382,0.15521589527918053,-7.188710039244952,6.540631003950661e-13,2.0319560318940054e-10
Abhd18,14.919047685030833,-1.3115400252173788,0.41798637639194697,-3.1377578296655875,0.00170245471230598,0.033894532269568456
Pcdh18,62.69017410312109,-1.279582486954856,0.4167962437661473,-3.070043231178431,0.002140277883768304,0.03925685584594459
Sertm1,8.848188846932345,-1.9136578357564347,0.5722580563121005,-3.3440469988119417,8.256574866658508e-4,0.019543181652636774
Tm4sf4,51.16861715699811,-2.838813029898654,0.3064751286504259,-9.262784364915573,1.9916932335170247e-20,1.563164710431888e-17
Arhgef26,192.87150558669396,-1.1352124332794924,0.19886517568816411,-5.7084526204808865,1.1400790431835523e-8,1.393513007537142e-6
Kcnab1,150.52665284539808,-1.503596764146748,0.2167342070601881,-6.937514776932246,3.990575949044355e-12,1.0505989854508995e-9
Sprr3,11.528251641918505,-2.096328683311076,0.5665938736109278,-3.6998788390546484,2.1570242358859152e-4,0.006917321592587262
Ivl,69.35210441110095,-2.087219599962061,0.37667487488939705,-5.541170221600076,3.004569726249818e-8,3.2668560771191507e-6
Tspan2,65.3075908813582,-1.1927979443589292,0.254237622614438,-4.691665742044234,2.70989609595387e-6,1.749349375881563e-4
Kcna2,137.7843764391067,-1.1773546226218876,0.2955903293363485,-3.983062048292489,6.803298385186353e-5,0.002662750276112832
Slc16a4,16.604766682134983,-1.8776105482742893,0.4378193635537342,-4.28855072337121,1.798427319678391e-5,8.844697496127035e-4
Col11a1,448.16390067586275,-1.5916399417993417,0.4282084696928983,-3.7169744515815646,2.0162282313861992e-4,0.006607911073940879
Ccn1,470.10406021588983,-1.3023503529576357,0.22801449339079735,-5.711699873066921,1.1185322459353902e-8,1.3784754422635156e-6
Gm17501,61.76225580641693,-1.2360048896566145,0.3942553550409193,-3.1350364017968277,0.001718327876771579,0.0340740761947045
Syde2,13.574067478104691,-1.2516545185646062,0.4032119392723126,-3.1042099616978125,0.0019078788535589234,0.036337585697995514
Nexn,189.58482861001403,-1.4404211334738366,0.2530383962301579,-5.69250024871191,1.2519241620034957e-8,1.4934954483036903e-6
Trim14,3.3777746384401497,-2.330054520970789,0.7321799954832494,-3.1823520655367252,0.00146084122502263,0.030171834276367673
Pappa,93.14155411693339,-1.1335281750457413,0.27971771190950767,-4.052400426514473,5.0694802219194495e-5,0.0021415322682510718
Brinp1,41.31954604595327,-1.3594935317136574,0.30381346728969405,-4.474763886675718,7.649579794392295e-6,4.245817751373322e-4
Podn,10.918565348815926,-2.2470648168225034,0.5358353984693669,-4.193572920417958,2.7459475005782665e-5,0.0012796115352694724
Ccdc17,30.727731215699357,-1.4733135990655104,0.39298550104572016,-3.749027877988059,1.7752135340038197e-4,0.005969195425844691
Rims3,21.161678897351038,-1.4401822244934601,0.4108695216863005,-3.5052057854830165,4.562544748718849e-4,0.012594264481058643
Heyl,26.054208314003542,-1.4140873696837848,0.3511301589167602,-4.027245549189672,5.643408770281846e-5,0.0023119371313857933
Tinagl1,2202.1748606341753,-1.2602095440967993,0.26642643973606434,-4.730046857756412,2.244680215604712e-6,1.507777989869255e-4
Gm13201,3.9734343757672432,-3.0332514035032427,0.9819543171951388,-3.08899441693728,0.002008352131750654,0.03743568373583219
Angptl7,419.94478835228375,-1.793770061333103,0.33194214901087504,-5.40386349452216,6.52205864539281e-8,6.483795901339838e-6
Plch2,7.774972907019213,-1.8120802121727424,0.5594258622631284,-3.2391784763794536,0.00119874536149853,0.02617231453977464
Sema3d,154.40218668124706,-1.5254985521609497,0.2845893134493718,-5.3603507934683385,8.306050491074753e-8,7.990956446639143e-6
Sema3e,208.14310337527505,-1.3830041678779856,0.2213616301940019,-6.247714053541787,4.1650327536813556e-10,7.393924812249568e-8
