gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sntg1,292.5435851142803,-1.3481953363449974,0.2534390701820281,-5.319603387814989,1.0399370410260083e-7,9.692213222362397e-6
Adhfe1,122.66982837877023,1.7467006247072447,0.3062901602463765,5.702764409089138,1.1787985499897371e-8,1.4176003207618518e-6
Cpa6,147.61626222997484,-1.5710536303237297,0.34403344545117975,-4.566572381540942,4.957639019126816e-6,2.9571325221287636e-4
Rdh10,156.0849106055337,1.1036620384695641,0.2511517037239957,4.394403948310216,1.1107710241257788e-5,5.801126735563954e-4
Pi15,67.89702929733009,-1.9013539798135906,0.28039942996074424,-6.78087676597552,1.1944873557586024e-11,2.8729347498503678e-9
Mcm3,136.88499999449294,1.5258106873099848,0.21164412032555457,7.209322351894099,5.623100393904648e-13,1.8228624581283936e-10
Il1r2,5.977380727367046,2.293373642761248,0.7688659919564033,2.9828002106396827,0.0028562437588870817,0.048126900488727864
Il1r1,107.80217080123086,1.3328837841715824,0.30798038087953183,4.327820429227104,1.505921662631294e-5,7.561045061669311e-4
Il1rl1,122.04161355579329,5.065484537938082,0.789604145465705,6.415220293645345,1.406193716364073e-10,2.6543241390406405e-8
Col3a1,19901.779062138736,1.0582189062356089,0.21063734738010403,5.023890204646415,5.063519179083324e-7,4.0378180747855904e-5
Cavin2,1072.30694050984,-1.0743293560309484,0.2376759078548738,-4.520144114425513,6.179754892275107e-6,3.5718025175816436e-4
Sgo2a,14.572859563744405,2.3211836697780592,0.5327391716946839,4.357073391833,1.3181307889410042e-5,6.708520929927732e-4
Nrp2,14.0375824699872,-1.2255196146184517,0.39870507067091127,-3.0737497583269717,0.0021138666331779635,0.038955239609323344
Igfbp5,65.74495882193565,3.782405916182641,0.3096688061896507,12.214358826527008,2.6054743787785475e-34,6.475472322724284e-31
Gpbar1,96.27913277429565,4.309540620295034,0.3659845142534306,11.775199366251979,5.239308376059495e-32,1.1161223786257026e-28
Irs1,62.544556254134676,1.2121530617546805,0.3430623117933988,3.5333320510143102,4.1035672196655995e-4,0.011589468632510118
Ccl20,95.58715122037898,-2.010691053071521,0.5599978186520743,-3.59053372370502,3.300015278361641e-4,0.009783265970363577
Sp100,27.84201560751471,-1.0814432273632721,0.30854873242768804,-3.5049349218011154,4.5671890937554676e-4,0.012594264481058643
Col6a3,129.0022137315317,1.5209438581102472,0.5080859168745038,2.993477692643698,0.0027581767084883155,0.046845024005669436
Bcl2,33.626308479220754,-1.2334877324141356,0.3526072796871237,-3.4981913405436122,4.684249407447236e-4,0.012769931839826908
Steap3,42.33885493575933,1.3336778510898595,0.4353489679857119,3.063468502660217,0.002187872353780808,0.03969045321116716
Mcm6,243.59983579520846,1.3540463669137193,0.17240360956119288,7.853932817068511,4.03190315949441e-15,1.878866872324395e-12
