gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gpbar1,112.01169445795007,-1.0741681958517564,0.30286576630717993,-3.5466807917877627,3.9011696441374876e-4,0.03897238232868202
Mastl,28.589330831386526,-1.3925884920972462,0.3874274523258388,-3.594449705969816,3.25077930797105e-4,0.03433835487034666
Spc25,179.84507133722067,-1.0196292510523357,0.237197972472392,-4.298642355263018,1.718475113958739e-5,0.007636547859857333
Postn,7703.4493872065395,-1.1371159305278844,0.10801294289926691,-10.527589564783556,6.446406521055074e-26,8.307484083683673e-22
Clspn,9.863096943504623,-2.1887458238187736,0.5224757338422955,-4.189181778305184,2.799620750402765e-5,0.009250951951394984
Rab42,19.454915012171874,-1.8745744467599648,0.3502577091881405,-5.351986259217608,8.699400617170365e-8,1.0191743250315863e-4
1110006O24Rik,8.158336675850835,-1.6332655240609653,0.46957911091786264,-3.4781477414284963,5.048915611681063e-4,0.04294804374728172
Ttk,20.415591391514177,-1.6505081602334035,0.4611866075485037,-3.5788293354980327,3.451367491093539e-4,0.03529981972835114
Pcolce2,161.9900946960633,-1.0862891915969513,0.23892467772878653,-4.546575941519293,5.452570161452243e-6,0.0039037373150352813
Raet1e,52.79788696044094,-1.1324783092730522,0.2906374303589885,-3.896532899682748,9.757955744104117e-5,0.02095846261237829
Serpinb1a,1886.487020494241,-1.2308569338976636,0.22365517697752066,-5.503368849008917,3.7260173563798023e-8,6.002148208958314e-5
Pbk,121.26208793818166,-1.0149650198069695,0.2966123433922928,-3.4218569874706786,6.219501814126674e-4,0.04742646146665706
Racgap1,47.903720457964916,-1.2487055671294678,0.36266327671352416,-3.4431541523732725,5.749714771665801e-4,0.046022716933203214
Ccnf,43.1657651405245,-1.1799199829667404,0.34453598585156997,-3.4246639869864373,6.155602253752339e-4,0.04721859895482523
Tcf19,78.95368595047225,-1.0014205070335398,0.2131942557001934,-4.697220869035973,2.6372522582370527e-6,0.002124141865743806
Ndc80,90.01752102346761,-1.3065099334283279,0.3217072599937999,-4.061176404453874,4.882605996124368e-5,0.012948741732194605
Kif20b,53.00452990625267,-1.409820876258041,0.4106953523479255,-3.432765596684168,5.974583861027465e-4,0.04666331043458239
Pik3ap1,102.47903788345612,-1.0483475351619629,0.21545510436110388,-4.865735431382155,1.1403197677590941e-6,9.79686723140763e-4
Kif4,37.75466478188805,-1.8294806138770683,0.4292359707756935,-4.262179170517615,2.0244302373519735e-5,0.00814809955097162
Ercc6l,9.782341790863752,-2.0631558744161693,0.5688575711128921,-3.6268408459078545,2.869100129982171e-4,0.033012583370607355
Il13ra2,263.53707179252626,-1.2448595148319492,0.2132199778044518,-5.838381223234317,5.27104397546703e-9,1.1321323951973937e-5
