gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sntg1,336.69913466037406,-1.3402505787025052,0.2411023304334376,-5.558845392713926,2.715651162233909e-8,2.2240144245027103e-6
Pi15,75.06077223275749,-2.0177659986023406,0.2800383411165435,-7.205320494891116,5.790748354017567e-13,1.2920559155905145e-10
Cavin2,1241.3209629356359,-1.0804275089066144,0.22117922688723232,-4.884850734456485,1.0350723729128158e-6,5.276404643824616e-5
Ccl20,89.69207984658969,-2.496594621243846,0.44711453620263375,-5.583792113867623,2.3532998318324536e-8,1.9794697986622233e-6
Lmod1,32.87633956623026,-1.641521591070402,0.2986030565975365,-5.497336865117491,3.8556972328442806e-8,2.9703446732283447e-6
F11r,554.7373752277144,-1.048105598794756,0.19811687646953183,-5.290339810884022,1.2208931232799193e-7,8.16890848872194e-6
Tgfb2,206.0032765251632,-1.0055501997340843,0.16143776065012286,-6.228717467862864,4.702689818079784e-10,5.683807443835622e-8
Grb14,91.17775956347072,-1.0868744644410353,0.22396411933853771,-4.852895489023164,1.2167181845527208e-6,6.119112561037459e-5
Bdnf,331.19449213275436,-1.3220254673838674,0.236001034819545,-5.601778265060305,2.121638509352006e-8,1.8066475192987793e-6
Myl9,1781.698434356117,-1.4966653124788907,0.28254631959939114,-5.29706178654509,1.1768088453256059e-7,8.016742802224935e-6
Zc2hc1a,377.87816148366653,-1.0488457784274428,0.14224940798163166,-7.373287476619079,1.664709756458343e-13,4.0900008393510135e-11
Tm4sf4,52.831122688916444,-2.7848541278753824,0.31481979440366975,-8.845867310060477,9.08201253416409e-19,5.041189698130266e-16
Arhgef26,224.06177951776,-1.2064003077743697,0.17577763282260336,-6.863218535841142,6.7326108523098134e-12,1.2012099862329426e-9
Kcnab1,173.0548336766699,-1.5260126781281818,0.20212458800058394,-7.549861663162787,4.357208030529369e-14,1.1258875302335112e-11
Slc16a4,21.378775716025544,-1.9616521270129974,0.28933251119430625,-6.779922929904051,1.2024000779731762e-11,2.0247606706274147e-9
Ccn1,529.480140041108,-1.3839479911234054,0.22527467487589217,-6.1433802618330136,8.078357437347635e-10,9.458620540119453e-8
Nexn,188.89325320198253,-1.1746564638836345,0.22311539252532622,-5.2647934801284375,1.403470342270135e-7,9.199829436183955e-6
Tpm2,1561.1169736008578,-1.1453426442409518,0.1418937975191879,-8.071830229831367,6.925212466124336e-16,2.6612348520462926e-13
Heyl,32.06507138369324,-1.4750960084789304,0.2936905406258621,-5.022620086215453,5.097130735472215e-7,2.8826678616046066e-5
Tent5b,131.83430632207578,-1.0339111238329033,0.21664070269958652,-4.772469397251806,1.819807667037071e-6,8.68581449231993e-5
Id3,890.0821060472013,-1.1252366698291125,0.16518598015484057,-6.811938088052922,9.62925497893597e-12,1.6780656322013182e-9
Sema3d,170.42161805968092,-1.4306814512767656,0.2836256871387991,-5.044259092712667,4.5528204148575437e-7,2.6045806550253792e-5
Sema3e,238.1694173464814,-1.3761365442927278,0.20698485430668717,-6.648489083426952,2.961169385349793e-11,4.4827318765896315e-9
Limch1,159.34190727330403,-1.1566603054036955,0.19091496879446476,-6.058510302819329,1.3738794964630657e-9,1.5481452641723284e-7
Cxcl10,19.112442295691263,-1.8041384241067904,0.32759926537855055,-5.5071503961465105,3.646886861823074e-8,2.891846211541926e-6
Serpine1,100.99727947964249,-1.7024710033594153,0.3102957773508007,-5.486607062121601,4.097271378687495e-8,3.1013033410297724e-6
Vamp5,408.3547083883852,-1.143775876317062,0.1560715265440012,-7.328536483524416,2.326796238439991e-13,5.448702378984398e-11
Magi1,64.04792206579704,-1.128238354188768,0.2052401239508072,-5.497162701281494,3.85950579984162e-8,2.9703446732283447e-6
Kcna1,70.87506222699032,-1.238417500823111,0.24335651322897284,-5.088902221646686,3.601422351026018e-7,2.150379154375575e-5
Tmem255b,90.62418886144124,-1.0777075100258646,0.2089571123932236,-5.157553613192131,2.5019722302033736e-7,1.530492155675835e-5
Cdh8,15.563675494948939,-2.559322267793851,0.49007163359659983,-5.222343209320589,1.766731306617138e-7,1.1218469966984925e-5
2310022B05Rik,380.80145474943873,-1.0460220863021261,0.16026065340608306,-6.527005001356259,6.709780732144877e-11,9.669181137755314e-9
Htr3b,53.82090373116845,-1.4906309016805583,0.28941451806775054,-5.150504928476355,2.597861049819798e-7,1.5826887623434678e-5
Peak1os,70.62620553872863,-1.9240083230884453,0.2831583175732385,-6.79481478622221,1.0845176709876932e-11,1.8470075380786997e-9
Tpm1,4442.955827313629,-1.2003343583171662,0.1795802765359209,-6.684110201139305,2.323319296623628e-11,3.589648072010135e-9
Col12a1,2180.0945068903825,-1.0564954093094505,0.21438243175274266,-4.928087626732196,8.303837619691268e-7,4.351385119101854e-5
Plscr2,234.72751525435504,-1.5996375182582576,0.20410607399527916,-7.837285225991149,4.6039147472867344e-15,1.3269013522612748e-12
