gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Adhfe1,145.29944876809796,2.0321825690575723,0.25902442906143497,7.845524750005656,4.311467990003762e-15,1.2669798189448311e-12
Mcm3,152.83113573704676,1.5184462940344088,0.21078861590490933,7.203644691701037,5.862400898122038e-13,1.2920559155905145e-10
Prim2,71.10304114276546,1.072076252510582,0.21271684098837323,5.039921839423988,4.657220090883886e-7,2.653907129356532e-5
Il1rl1,154.25205661409493,5.275771328517813,0.8350336289233576,6.318034562655969,2.649107760013507e-10,3.422601551665726e-8
Igfbp5,74.61494501802648,3.823158113267419,0.3148542327802285,12.142628922305207,6.2776141010122525e-34,9.408260253187063e-31
Gpbar1,98.06292572857217,3.979669958979297,0.3230915597947526,12.317468031376075,7.294883951011749e-35,1.3666053221726634e-31
Mcm6,280.0874053173459,1.4187581528931794,0.1620350840978788,8.755870130176039,2.0253482259163634e-18,1.0840676379217334e-15
Ube2t,35.78766641824702,2.0202236055977876,0.35465703564730716,5.696273871771777,1.2245411832898047e-8,1.119036506949043e-6
Aspm,22.179157500662154,2.4863538031718546,0.5233596873768255,4.7507552896057295,2.0265826288579972e-6,9.521126601471725e-5
Rgs16,78.59455081307506,1.1161714289457991,0.23458408215317977,4.758086817744763,1.9543644510266144e-6,9.210710700482978e-5
Nuf2,61.14428386202848,2.5839811296882056,0.32757952022038533,7.888103407532263,3.0681349400185133e-15,9.384109866542339e-13
Rgs4,263.6513873784779,1.3438950927517739,0.1779660257406815,7.551413744047952,4.3055865826368756e-14,1.1258875302335112e-11
Fcgr2b,237.69072211007884,2.9158573495407123,0.264869014718895,11.008676694913923,3.470638001391327e-28,4.0011116712962935e-25
Rps6kc1,99.47220282398506,1.0049015055473247,0.18279191543762546,5.497516140916143,3.85178068557085e-8,2.9703446732283447e-6
Nsl1,14.364675945258176,3.4499997470177495,0.648716559134921,5.31819282001743,1.0480297243290371e-7,7.238166579962801e-6
Hsd11b1,601.900441236575,2.4750303215000815,0.33591070577639315,7.368119797728756,1.7305125156057116e-13,4.1830953340939996e-11
Cd34,50.3506438252125,1.9723857904978783,0.39686045753846405,4.969973080038374,6.69621979790502e-7,3.636095873594294e-5
Mastl,28.021330171981067,2.6190401561817382,0.461498847393405,5.675074100345771,1.3862863427075388e-8,1.2366829415570167e-6
Ptges,202.2255521833687,1.0467184386516832,0.16611722607533858,6.30108305671423,2.9557294470579965e-10,3.7540268833100165e-8
Aif1l,451.7276830247776,1.4219681714345944,0.18854294308935693,7.541879574674271,4.632454471338772e-14,1.1767219518975283e-11
Spc25,188.2819781231904,1.2771126060599969,0.23022830394054347,5.547157253044837,2.9035158567719256e-8,2.339515706744132e-6
Kif18a,28.995239165644822,2.2010935092516517,0.4351321777907623,5.058448033944457,4.2268239922916883e-7,2.455326014437036e-5
Knstrn,35.32948929662189,2.8186422815647396,0.45054404349587535,6.256085997040917,3.9475912438783017e-10,4.8493893419675496e-8
Knl1,21.669873372865123,2.6611748329579146,0.5482179627920474,4.85422772250052,1.2085679428543758e-6,6.0985884712318284e-5
Rad51,24.918057337587765,2.4290840556531266,0.4259340786919603,5.702957751379794,1.1774617428275718e-8,1.0892974777627665e-6
Nusap1,90.99736748576491,2.485524369914595,0.48299612638313016,5.146054459126213,2.6602222323207873e-7,1.6141194573194996e-5
Gatm,106.88486217458261,1.4807807820827987,0.2544854602393707,5.818724498798346,5.9298377262623446e-9,5.808489748112857e-7
Ncaph,39.68050349218903,2.0693276781442105,0.38609045415505805,5.35969655782566,8.336185129898498e-8,5.880163532722099e-6
Ckap2l,49.75323195191178,2.621157272510952,0.36668773397431115,7.148200034131988,8.792312839067664e-13,1.882434178844387e-10
Btbd3,214.85689198539023,1.2395666393401295,0.2133049864506822,5.8112407964111386,6.201149089179305e-9,5.995911058034209e-7
Tpx2,91.87296486612031,2.3738602543073752,0.3382104656929455,7.0188846742032975,2.2364627982285434e-12,4.4102457838225235e-10
Ube2c,133.0880960701508,2.8264731804669814,0.43890687196239625,6.439801609461112,1.1962976670222902e-10,1.6073532063523426e-8
B4galt5,248.7954943984458,1.0375798525400397,0.21494083362926775,4.827281233726247,1.3840959882131612e-6,6.84602197206292e-5
Aurka,108.45856261712782,2.311722501844051,0.47943258205164946,4.821788481607635,1.4227676987374672e-6,6.968307026463537e-5
Cldn11,13.783839376939621,3.344745710610334,0.669918165258598,4.992767600680322,5.952016128640204e-7,3.303809841478916e-5
Ccna2,60.713390573741435,2.4546850714183925,0.3767891329347687,6.514744871485871,7.281330898212126e-11,1.0392886302048107e-8
Postn,7931.654404026422,1.5930314299932122,0.16465651473234308,9.674876409128178,3.855572165373167e-22,2.75159333535465e-19
Pdgfc,138.850193993837,1.9209006066358951,0.2797296185304921,6.866990405688864,6.557047796547686e-12,1.1839816304440985e-9
Ctso,820.2482698224082,1.3352729424756864,0.21162538821745183,6.309606582286105,2.7974566187921315e-10,3.5833745594733057e-8
Tdo2,86.10581867047405,6.547998363140065,1.043974304359757,6.272183458725824,3.5601973207492985e-10,4.446389770505811e-8
Gucy1b1,140.4158424814088,1.0454885358943118,0.19762249917517033,5.29033151720039,1.2209484896735267e-7,8.16890848872194e-6
Ntrk1,133.28443341319925,2.8075183405370514,0.57300389958385,4.89964962293632,9.600771329370257e-7,4.978780619836403e-5
Vcam1,301.9068437047739,1.2983970957135917,0.16364880905556106,7.9340454917259295,2.1212034065119087e-15,6.910972924650864e-13
