GeneID,GO_ID
11287,GO:0002020
11287,GO:0004866
11287,GO:0004867
11287,GO:0005576
11287,GO:0005615
11287,GO:0007566
11287,GO:0030414
11287,GO:0031012
11287,GO:0044877
11287,GO:0048403
11287,GO:0048406
11298,GO:0004059
11298,GO:0004060
11298,GO:0005737
11298,GO:0005829
11298,GO:0006474
11298,GO:0007623
11298,GO:0008080
11298,GO:0009416
11298,GO:0009648
11298,GO:0010043
11298,GO:0016740
11298,GO:0016746
11298,GO:0016747
11298,GO:0030187
11298,GO:0032868
11298,GO:0034097
11298,GO:0034695
11298,GO:0046688
11298,GO:0048471
11298,GO:0048511
11298,GO:0051412
11298,GO:0051591
11298,GO:0051592
11298,GO:0071320
11298,GO:0071889
11298,GO:1901652
11302,GO:0000166
11302,GO:0004672
11302,GO:0004674
11302,GO:0004713
11302,GO:0005515
11302,GO:0005524
11302,GO:0005737
11302,GO:0005783
11302,GO:0006915
11302,GO:0007420
11302,GO:0012505
11302,GO:0016020
11302,GO:0016301
11302,GO:0016740
11302,GO:0030424
11302,GO:0030425
11302,GO:0030426
11302,GO:0042995
11302,GO:0048471
11302,GO:0051402
11302,GO:0106310
11303,GO:0000166
11303,GO:0002790
11303,GO:0005102
11303,GO:0005515
11303,GO:0005524
11303,GO:0005548
11303,GO:0005768
11303,GO:0005794
11303,GO:0005886
11303,GO:0006911
11303,GO:0007040
11303,GO:0007186
11303,GO:0007189
11303,GO:0007584
11303,GO:0008035
11303,GO:0008203
11303,GO:0008320
11303,GO:0009306
11303,GO:0009410
11303,GO:0009897
11303,GO:0009986
11303,GO:0010875
11303,GO:0015914
11303,GO:0016020
11303,GO:0016197
11303,GO:0016323
11303,GO:0016887
11303,GO:0019905
11303,GO:0023061
11303,GO:0030139
11303,GO:0030301
11303,GO:0031210
11303,GO:0031267
11303,GO:0031667
11303,GO:0032367
11303,GO:0032489
11303,GO:0033344
11303,GO:0033552
11303,GO:0033700
11303,GO:0034185
11303,GO:0034186
11303,GO:0034188
11303,GO:0034204
11303,GO:0034380
11303,GO:0034616
11303,GO:0038027
11303,GO:0042157
11303,GO:0042158
11303,GO:0042626
11303,GO:0042632
11303,GO:0043231
11303,GO:0043691
11303,GO:0045121
11303,GO:0045332
11303,GO:0045335
11303,GO:0046623
11303,GO:0048471
11303,GO:0051117
11303,GO:0051649
11303,GO:0055085
11303,GO:0055091
11303,GO:0060155
11303,GO:0071222
11303,GO:0071300
11303,GO:0071345
11303,GO:0071397
11303,GO:0071403
11303,GO:0071466
11303,GO:0071806
11303,GO:0090108
11303,GO:0090554
11303,GO:0090556
11303,GO:0097708
11303,GO:0099039
11303,GO:0120020
11303,GO:0140115
11303,GO:0140326
11303,GO:0140328
11303,GO:0140359
11304,GO:0000166
11304,GO:0001523
11304,GO:0001750
11304,GO:0003924
11304,GO:0005501
11304,GO:0005502
11304,GO:0005503
11304,GO:0005524
11304,GO:0005548
11304,GO:0005783
11304,GO:0005886
11304,GO:0006649
11304,GO:0006869
11304,GO:0007601
11304,GO:0016020
11304,GO:0016787
11304,GO:0016887
11304,GO:0031410
11304,GO:0034204
11304,GO:0042574
11304,GO:0042626
11304,GO:0042995
11304,GO:0043231
11304,GO:0045332
11304,GO:0045494
11304,GO:0046872
11304,GO:0055085
11304,GO:0090555
11304,GO:0120202
11304,GO:0140326
11304,GO:0140327
11304,GO:0140347
11304,GO:0140359
11305,GO:0000166
11305,GO:0001573
11305,GO:0005319
11305,GO:0005524
11305,GO:0005764
11305,GO:0005765
11305,GO:0005768
11305,GO:0005815
11305,GO:0005886
11305,GO:0006684
11305,GO:0006687
11305,GO:0006869
11305,GO:0007626
11305,GO:0010008
11305,GO:0010559
11305,GO:0016020
11305,GO:0016887
11305,GO:0019218
11305,GO:0031410
11305,GO:0032289
11305,GO:0032383
11305,GO:0032384
11305,GO:0032805
11305,GO:0042626
11305,GO:0042632
11305,GO:0042986
11305,GO:0043231
11305,GO:0045939
11305,GO:0046512
11305,GO:0048545
11305,GO:0051247
11305,GO:0055085
11305,GO:0061135
11305,GO:0071072
11305,GO:0090155
11305,GO:0090156
11305,GO:0090370
11305,GO:0099038
11305,GO:0099040
11305,GO:0140359
11305,GO:1901873
11305,GO:1902004
11305,GO:1902993
11305,GO:1904375
11305,GO:1905601
11305,GO:2000008
11306,GO:0000166
11306,GO:0005515
11306,GO:0005524
11306,GO:0005739
11306,GO:0005743
11306,GO:0006879
11306,GO:0016020
11306,GO:0016226
11306,GO:0016887
11306,GO:0034755
11306,GO:0042626
11306,GO:0042802
11306,GO:0042803
11306,GO:0055085
11306,GO:0070455
11306,GO:0140359
11306,GO:0140466
11306,GO:0140481
